Gene,Log_Tom2d
PITG_01012,0.081582571
PITG_01013,0.146461882
PITG_01015,-0.173937462
PITG_01016,-0.680542142
PITG_01017,0.137308153
PITG_01019,0.205431295
PITG_01020,-0.187819096
PITG_01022,-0.259765031
PITG_01023,0.022700376
PITG_01024,-0.179447634
PITG_01025,-0.048260555
PITG_01026,-0.225933869
PITG_01027,-0.086819016
PITG_01028,0.210553782
PITG_01029,0.497107304
PITG_01030,0.35273485
PITG_01031,-0.608737
PITG_01033,-0.516156069
PITG_01034,0.12145638
PITG_01035,0.102195362
PITG_01036,-0.426327315
PITG_01038,0.052390472
PITG_01039,0.506501811
PITG_01040,0.299895296
PITG_01041,-0.243065845
PITG_01042,-0.404672273
PITG_01043,-0.743102144
PITG_01044,-0.251036413
PITG_01045,-0.057980151
PITG_01046,-0.545895922
PITG_01047,-0.427800552
PITG_01048,-0.915141272
PITG_01049,-0.169129433
PITG_01050,-2.100744974
PITG_01051,-0.012837259
PITG_01052,0.717421118
PITG_01053,-0.189477088
PITG_01054,-0.086043494
PITG_01055,-0.169381201
PITG_01056,-0.489099965
PITG_01057,0.045560822
PITG_01058,0.202285384
PITG_01060,-0.337209508
PITG_01062,-0.558186357
PITG_01063,0.12954095
PITG_01064,0.536877054
PITG_01065,-0.315468067
PITG_01066,-0.248608094
PITG_01067,0.063381521
PITG_01068,0.353983913
PITG_01069,-0.231770715
PITG_01070,-0.933367994
PITG_01071,0.298747188
PITG_01072,-0.281163015
PITG_01073,-0.437555866
PITG_01074,-0.154866439
PITG_01075,-0.363165707
PITG_01076,-0.117675525
PITG_01078,-0.134424263
PITG_01079,0.389415142
PITG_01080,0.31576664
PITG_01081,-0.390261009
PITG_01082,-0.158357326
PITG_01083,-0.030414714
PITG_01084,-0.540825476
PITG_01085,-0.504720496
PITG_01086,-1.236636986
PITG_01087,-0.620780901
PITG_01088,-0.177352318
PITG_01089,-0.152175095
PITG_01090,0.309672616
PITG_01091,-0.197564703
PITG_01092,0.78016206
PITG_01094,-0.912214195
PITG_01096,-0.162019238
PITG_01097,-0.999466577
PITG_01098,0.218876297
PITG_01099,-0.139335748
PITG_01100,0.127960445
PITG_01101,0.011541882
PITG_01102,-0.040075245
PITG_01103,-0.261688716
PITG_01104,-0.049740103
PITG_01105,-0.127544791
PITG_01106,-0.056282995
PITG_01107,-0.286817391
PITG_01108,0.006247025
PITG_01109,-0.230442174
